iter	RMSE
0	2078.098008
1	2067.522827
2	2056.570128
3	2048.196279
4	2040.698745
5	2034.392616
6	2028.336157
7	2023.244929
8	2018.90211
9	2014.248089
10	2011.589735
11	2008.971571
12	2007.063212
13	2003.984799
14	2001.931546
15	1999.773057
16	1998.168623
17	1996.912719
18	1994.938634
19	1993.796011
20	1992.416929
21	1991.155267
22	1989.594137
23	1988.562129
24	1987.743059
25	1987.060092
26	1986.456699
27	1985.589824
28	1984.765186
29	1983.845225
30	1983.028898
31	1982.536829
32	1981.720212
33	1980.963196
34	1980.495446
35	1979.874591
36	1979.193873
37	1978.500013
38	1978.053581
39	1977.589971
40	1976.788633
41	1976.162007
42	1975.225445
43	1974.673164
44	1974.307569
45	1973.834528
46	1973.076843
47	1972.613551
48	1971.977933
49	1971.621663
50	1970.811564
51	1970.409033
52	1970.057407
53	1969.644456
54	1969.209682
55	1968.566458
56	1967.868504
57	1967.587657
58	1967.080099
59	1966.684675
60	1966.275161
61	1965.948154
62	1965.537691
63	1964.945427
64	1964.544896
65	1964.008374
66	1963.505249
67	1963.182489
68	1962.688689
69	1962.342066
70	1962.045364
71	1961.63308
72	1961.157829
73	1960.83032
74	1960.5136
75	1959.815525
76	1959.427805
77	1958.890455
78	1958.457427
79	1958.046179
80	1957.819955
81	1957.556414
82	1957.299442
83	1957.021921
84	1956.617488
85	1956.305488
86	1955.974101
87	1955.745557
88	1955.406778
89	1955.051979
90	1954.680081
91	1954.051854
92	1953.589129
93	1953.394349
94	1952.880545
95	1952.66932
96	1952.169361
97	1951.823718
98	1951.564795
99	1951.270323
