iter	Passed	Remaining
0	62	6157
1	64	3182
2	67	2169
3	69	1662
4	71	1361
5	73	1158
6	76	1015
7	79	914
8	81	827
9	84	762
10	87	704
11	89	654
12	91	612
13	93	575
14	95	542
15	97	512
16	99	488
17	102	467
18	104	446
19	107	428
20	109	410
21	111	394
22	113	379
23	115	364
24	117	352
25	119	340
26	123	332
27	125	322
28	127	312
29	129	302
30	131	293
31	134	285
32	136	277
33	138	269
34	141	261
35	143	254
36	145	247
37	147	241
38	149	234
39	152	228
40	154	221
41	156	215
42	158	210
43	160	204
44	162	198
45	164	193
46	167	188
47	169	183
48	171	178
49	173	173
50	175	168
51	177	164
52	179	159
53	181	154
54	183	150
55	186	146
56	188	142
57	190	137
58	192	133
59	194	129
60	196	125
61	198	121
62	200	117
63	202	114
64	205	110
65	207	106
66	209	103
67	211	99
68	213	96
69	215	92
70	217	89
71	219	85
72	221	82
73	224	78
74	226	75
75	228	72
76	230	68
77	232	65
78	234	62
79	236	59
80	238	56
81	241	52
82	243	49
83	244	46
84	247	43
85	249	40
86	251	37
87	254	34
88	256	31
89	258	28
90	261	25
91	263	22
92	265	20
93	268	17
94	270	14
95	273	11
96	275	8
97	277	5
98	279	2
99	282	0
